episode,date_id,seed,is_naive,gamma,demand_scale,platoon_factor,experiment_horizon,double_layer_horizon,coeffs_up,coeffs_dn,waits,moves,total
102,23,102,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27978.0,22305.58204782146,50283.58204782146
103,27,103,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20769.0,21987.267265274564,42756.26726527457
104,28,104,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21648.0,23321.145465864975,44969.145465864975
105,29,105,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,31935.0,23597.25733581956,55532.25733581956
106,30,106,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,28734.0,22056.75346450099,50790.75346450099
107,31,107,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,21840.0,22851.486053811703,44691.48605381171
108,15,108,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,32124.0,22666.18246834034,54790.18246834034
109,16,109,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,34653.0,21808.430511683968,56461.43051168397
110,17,110,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,35787.0,22093.056823692914,57880.05682369291
111,20,111,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,27027.0,22387.994807262214,49414.994807262214
112,21,112,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,20655.0,21734.165074452132,42389.16507445213
113,22,113,False,0.7,1.0,2.0,168,4,0.8316215053151956;0.08383023774930787;1.145668922345302;-0.7275011374588818,1.1454242379924269;-1.0020964707344506;1.3981261320423664;-0.752704374966651,32376.0,22450.322213846655,54826.32221384665
